Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FSZ,First Trust Switzerland AlphaDEX Fund,Equity,"$150,880,482.00 ",1.61%,"5,158",$54.88 ,0.31%,No,No,0.88%,3.12%,22.01%,37.78%,58.48%,"($18,630.00)","($18,630.00)","($18,630.00)","($19,194,722.00)","$16,146,532.00 ","$76,799,602.50 ",Europe Equities,2012-02-14,0.80%,N/A,$1.09 ,2019-09-25,$0.09 ,1.98%,21.99,0.83,41,39.46%,35%,15%,1099,$53.01 ,$54.89 ,$54.79 ,$54.99 ,70.66,B-,B,C,B+,A,C,B-,8.95,95.89%,99.48%,300.96,7.71%,3.21%
IPKW,Invesco International BuyBack Achievers??ETF,Equity,"$149,974,044.00 ",0.86%,"20,680",$34.06 ,-0.03%,No,No,0.24%,1.15%,14.71%,23.36%,55.24%,$0.00 ,$0.00 ,$0.00 ,"($60,625,307.50)","$54,028,229.50 ","$126,992,644.50 ",Foreign Large Cap Equities,2014-02-27,0.55%,N/A,$0.81 ,2019-12-23,$0.14 ,2.39%,12.21,0.93,56,43.78%,35%,15%,1099,$33.58 ,$34.12 ,$34.02 ,$34.11 ,63.57,B-,B,C+,N/A,A,C+,N/A,6.56,93.75%,77.47%,163.24,18.10%,2.14%
IEUS,iShares MSCI Europe Small-Cap ETF,Equity,"$149,503,401.00 ",-0.78%,"8,889",$55.32 ,-0.25%,No,No,-0.01%,1.24%,21.70%,36.06%,54.65%,"$2,762,727.50 ",$0.00 ,"$2,762,727.50 ","($35,364,926.50)","$61,509,582.50 ","$99,371,615.00 ",Europe Equities,2007-11-12,0.40%,N/A,$2.25 ,2019-12-16,$0.57 ,4.06%,16.07,0.93,983,4.89%,35%,15%,1099,$54.52 ,$56.02 ,N/A,N/A,62.9,A,B-,A-,A-,A-,B,A,6.56,9.33%,77.45%,127.81,4.16%,9.06%
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Equity,"$149,074,767.00 ",2.29%,"15,025",$45.18 ,-1.68%,No,No,0.47%,2.08%,20.05%,39.86%,40.81%,"$2,300,384.50 ","$2,300,384.50 ","$71,687.50 ","($3,459,078.00)","($17,261,380.50)","($65,156,539.50)",Asia Pacific Equities,2002-11-13,0.30%,N/A,$0.77 ,2019-12-23,$0.26 ,1.68%,16.69,1.08,51,63.63%,35%,15%,1099,$43.70 ,$45.96 ,$44.96 ,$45.47 ,61.83,B+,B-,A,A-,B,B,C+,4.15,31.87%,20.52%,237.85,2.70%,2.12%
KLDW,Knowledge Leaders Developed World ETF,Equity,"$148,965,687.00 ",1.18%,"7,686",$36.89 ,-0.14%,No,No,0.67%,1.52%,22.36%,39.43%,N/A,$0.00 ,$0.00 ,$0.00 ,"($2,434,153.00)","$65,227,433.00 ","$117,102,386.00 ",Large Cap Growth Equities,2015-07-08,0.75%,N/A,$0.36 ,2019-12-23,$0.36 ,0.98%,24.94,0.92,315,5.74%,35%,15%,1099,$36.24 ,$36.96 ,N/A,N/A,64.12,N/A,C+,C,N/A,N/A,C,N/A,5.96,36.00%,62.92%,98.93,5.60%,7.28%
BFOR,Barron's 400 ETF,Equity,"$148,933,108.00 ",0.94%,"9,341",$43.14 ,0.02%,No,No,0.63%,1.28%,14.80%,24.04%,46.60%,$0.00 ,$0.00 ,$0.00 ,"($23,846,554.50)","($72,972,087.50)","($116,274,446.25)",All Cap Equities,2013-06-03,0.66%,N/A,$0.29 ,2019-12-19,$0.29 ,0.68%,16.82,1.16,395,4.43%,35%,15%,1099,$42.49 ,$43.18 ,N/A,N/A,65.51,B,B+,B,C+,B,B-,B+,4.43,67.94%,25.16%,209.73,5.28%,4.30%
DIVC,Miller/Howard Strategic Dividend Reinvestor ETN,Equity,"$146,820,000.00 ",-0.69%,406,$36.71 ,0.00%,No,No,-0.07%,-0.31%,12.47%,23.13%,48.97%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$27,160,000.00 ",All Cap Equities,2014-09-11,0.70%,N/A,$0.00 ,N/A,N/A,0.00%,0,1.09,27,33.33%,35%,15%,1099,$36.49 ,$37.20 ,$36.71 ,$36.71 ,55.02,N/A,C+,C+,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHAU,Direxion Daily CSI 300 China A Share Bull 2x Shares,Equity,"$146,149,577.00 ",5.33%,"247,642",$25.70 ,-1.23%,No,2x,2.35%,9.32%,60.57%,43.31%,N/A,"($1,271,252.50)","($1,271,252.50)","($1,271,252.50)","$23,575,312.50 ","$59,363,782.00 ","$142,554,329.50 ",Leveraged Equities,2015-04-16,1.15%,N/A,$0.14 ,2019-12-23,$0.05 ,0.54%,13.21,2.63,2,100.00%,35%,15%,1099,$22.22 ,$26.61 ,$25.63 ,$25.79 ,64.2,B,A-,B+,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LABD,Direxion Daily S&P Biotech Bear 3x Shares,Equity,"$145,941,861.00 ",-4.45%,"3,186,027",$11.80 ,-2.40%,Yes,3x,-3.12%,-2.71%,-56.01%,-91.20%,N/A,"($22,884,022.00)","($11,214,665.50)","($32,162,656.50)","$68,765,555.00 ","$172,180,976.64 ","$292,337,119.14 ",Leveraged Equities,2015-05-28,1.11%,N/A,$0.22 ,2019-12-23,$0.01 ,1.79%,0,-5.7,124,18.23%,35%,15%,1099,$11.19 ,$13.27 ,$11.48 ,$12.11 ,39.17,N/A,N/A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOLZ,ProShares DJ Brookfield Global Infrastructure ETF,Equity,"$145,885,808.00 ",1.65%,"18,748",$47.72 ,0.72%,No,No,2.35%,3.19%,22.16%,32.74%,33.42%,"$9,828,935.80 ",$0.00 ,"$12,628,562.20 ","$66,910,886.20 ","$90,451,188.70 ","$104,912,188.36 ",Large Cap Blend Equities,2014-03-25,0.46%,Charles Schwab,$1.39 ,2019-12-24,$0.31 ,2.93%,20.88,0.6,124,41.39%,35%,15%,1099,$46.02 ,$47.52 ,$47.63 ,$47.76 ,73.08,N/A,N/A,B,N/A,N/A,N/A,N/A,5.33,36.63%,45.74%,687.98,5.86%,2.29%
FGM,First Trust Germany AlphaDEX Fund,Equity,"$145,207,911.00 ",0.56%,"5,917",$44.65 ,0.22%,No,No,-0.09%,1.29%,15.35%,27.74%,38.04%,$0.00 ,$0.00 ,$0.00 ,"($2,953,751.50)","$30,234,260.50 ","$94,023,896.50 ",Europe Equities,2012-02-14,0.80%,N/A,$1.02 ,2019-12-13,$0.06 ,2.29%,11.9,0.97,41,40.06%,35%,15%,1099,$43.83 ,$44.92 ,$44.55 ,$44.77 ,59.94,C+,B,C,B+,B,C+,B-,5.35,1.44%,46.09%,149.32,4.15%,1.96%
BLES,Inspire Global Hope Large Cap ETF,Equity,"$144,947,194.00 ",0.19%,"24,200",$30.47 ,-0.16%,No,No,0.63%,1.35%,21.57%,N/A,N/A,"($22,697,887.50)",$0.00 ,"($22,697,887.50)","$37,562,829.50 ","$123,097,427.50 ","$123,097,427.50 ",Large Cap Blend Equities,2017-02-28,0.61%,N/A,$0.65 ,2019-12-13,$0.13 ,2.15%,17.56,0.93,301,9.45%,20%,39%,1099,$30.01 ,$30.54 ,$30.40 ,$30.56 ,62.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.82,29.48%,58.82%,402.47,3.89%,5.93%
PWC,Invesco Dynamic Market ETF,Equity,"$144,874,937.00 ",0.60%,"2,752",$99.51 ,-0.11%,No,No,0.91%,1.04%,10.02%,28.13%,49.72%,$0.00 ,$0.00 ,$0.00 ,"($18,087,090.00)","($20,465,516.00)","($92,628,611.00)",All Cap Equities,2003-05-01,0.59%,N/A,$0.94 ,2019-12-23,$0.34 ,0.95%,15.02,0.98,101,31.78%,35%,15%,1099,$98.17 ,$99.65 ,$99.14 ,$99.91 ,61.59,B,C+,B,B,B,B-,B-,5.29,33.38%,44.83%,283.32,4.30%,4.85%
SNSR,Global X Internet of Things Thematic ETF,Equity,"$143,862,976.00 ",0.93%,"65,481",$23.81 ,-0.58%,No,No,0.17%,1.23%,40.88%,49.57%,N/A,"($1,184,252.50)","$1,192,959.50 ","$2,361,663.50 ","$42,078,747.50 ","$107,667,836.00 ","$117,696,185.96 ",Technology Equities,2016-09-12,0.68%,N/A,$0.26 ,2019-12-30,$0.18 ,1.11%,21.34,1.29,51,54.06%,39%,20%,1099,$23.39 ,$23.92 ,$23.71 ,$23.94 ,62.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,40.12%,42.89%,62.16,1.81%,11.67%
URE,ProShares Ultra Real Estate,Real Estate,"$143,823,894.00 ",2.24%,"9,383",$89.36 ,1.80%,No,2x,4.89%,8.09%,47.59%,61.53%,61.16%,$0.00 ,$0.00 ,$0.00 ,"($21,832,643.25)","$68,756,136.20 ","($47,340,864.22)",Leveraged Real Estate,2007-01-30,0.95%,N/A,$0.96 ,2019-12-24,$0.44 ,1.09%,31.59,1.15,115,36.88%,35%,15%,1099,$82.02 ,$89.05 ,$88.50 ,$89.98 ,59.61,A,B+,B-,A-,A-,N/A,N/A,4.5,35.48%,26.32%,96.33,0.47%,7.12%
SHE,SPDR SSGA Gender Diversity Index ETF,Equity,"$143,120,905.00 ",1.54%,"37,595",$78.43 ,0.13%,No,No,0.87%,2.39%,20.95%,38.05%,N/A,"($13,609,849.75)",$0.00 ,"($13,609,849.75)","($233,349,916.75)","($187,166,467.75)","$65,001,081.75 ",Large Cap Growth Equities,2016-03-07,0.20%,N/A,$1.47 ,2019-12-20,$0.41 ,1.88%,18.92,0.92,177,38.66%,39%,20%,1099,$76.53 ,$78.56 ,$78.31 ,$78.61 ,64.83,N/A,N/A,A-,N/A,N/A,N/A,N/A,5.51,0.00%,50.02%,140.08,4.66%,5.95%
RTM,Invesco S&P 500® Equal Weight Materials ETF,Equity,"$142,968,350.00 ",-1.45%,"5,170",$114.32 ,0.61%,No,No,1.60%,0.14%,19.99%,28.30%,52.22%,$0.00 ,$0.00 ,$0.00 ,"$11,263,898.00 ","($18,038,215.50)","$60,351,893.50 ",Materials,2006-11-07,0.40%,Charles Schwab,$2.10 ,2019-12-23,$0.57 ,1.84%,15.9,1.18,29,37.77%,35%,15%,1099,$111.78 ,$116.67 ,$113.85 ,$114.81 ,55.45,B,B,B+,A-,A,B+,C+,5.36,43.48%,46.51%,638.78,3.20%,1.61%
RFV,Invesco S&P MidCap 400® Pure Value ETF,Equity,"$142,859,390.00 ",-1.46%,"11,947",$67.95 ,-0.25%,No,No,0.02%,-2.57%,9.33%,13.61%,43.40%,"($13,613,837.00)",$0.00 ,"($16,985,490.00)","$4,278,223.00 ","($87,987,604.50)","($19,711,419.09)",Small Cap Value Equities,2006-03-07,0.35%,Charles Schwab,$1.18 ,2019-12-23,$0.39 ,1.73%,11.46,1.43,91,22.55%,35%,15%,1099,$67.00 ,$70.26 ,N/A,N/A,49.97,B-,B+,B,A,C,C+,C,4.41,67.10%,24.92%,132.37,7.41%,5.96%
EFAD,ProShares MSCI EAFE Dividend Growers ETF,Equity,"$140,416,255.00 ",0.73%,"11,895",$41.02 ,0.27%,No,No,0.89%,2.15%,20.65%,34.00%,27.81%,$0.00 ,$0.00 ,"$3,651,268.80 ","$12,864,794.70 ","$86,912,345.70 ","$122,947,345.93 ",Foreign Large Cap Equities,2014-08-19,0.50%,N/A,$0.83 ,2019-12-24,$0.16 ,2.17%,19.55,0.78,87,13.21%,35%,15%,1099,$40.18 ,$41.06 ,$40.94 ,$41.08 ,63.54,C+,B,B-,N/A,N/A,B,C+,6.6,35.14%,78.46%,397.85,7.99%,7.47%
SOCL,Global X Social Media Index ETF,Equity,"$139,766,487.00 ",7.26%,"18,133",$37.15 ,0.35%,No,No,2.89%,9.36%,25.19%,61.59%,111.22%,$0.00 ,$0.00 ,$0.00 ,"($23,631,565.50)","$19,610,177.50 ","($27,570,354.50)",Large Cap Growth Equities,2011-11-14,0.65%,2 Platforms,$0.00 ,2017-12-28,$0.49 ,0.00%,31.45,0.98,42,67.66%,35%,15%,1099,$33.20 ,$37.46 ,$37.03 ,$37.33 ,76.59,C+,B-,B-,C+,C+,B+,C+,3.68,9.30%,14.31%,17.77,0.00%,0.77%
MFUS,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,Equity,"$139,409,911.00 ",1.19%,"9,286",$31.56 ,0.13%,No,No,1.05%,1.98%,22.64%,N/A,N/A,"$9,392,304.00 ",$0.00 ,"$9,297,645.00 ","$54,243,242.00 ","$99,572,693.00 ","$99,572,693.00 ",Large Cap Growth Equities,2017-08-31,0.29%,N/A,$0.59 ,2019-12-30,$0.30 ,1.87%,19.83,0.9,886,17.69%,39%,20%,1099,$30.90 ,$31.57 ,$31.51 ,$31.64 ,68.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.75,65.37%,57.02%,173.96,7.32%,5.49%
XRLV,Invesco S&P 500® ex-Rate Sensitive Low Volatility ETF,Equity,"$139,078,038.00 ",0.75%,"24,928",$41.50 ,0.34%,No,No,0.87%,1.58%,26.88%,54.80%,N/A,"($28,794,105.00)",$0.00 ,"($28,794,105.00)","($23,425,272.50)","($105,306,417.00)","$68,234,745.00 ",Volatility Hedged Equity,2015-04-09,0.25%,N/A,$0.68 ,2019-12-23,$0.07 ,1.65%,18.76,0.85,101,12.51%,35%,15%,1099,$40.86 ,$41.48 ,$41.43 ,$41.59 ,65.18,A,B+,A-,N/A,A,B,N/A,5.59,49.91%,51.94%,162.67,5.00%,5.14%
JQUA,JPMorgan U.S. Quality Factor ETF,Equity,"$139,062,269.00 ",2.09%,"43,081",$31.96 ,0.31%,No,No,1.50%,3.03%,26.67%,N/A,N/A,"$1,568,214.00 ",$0.00 ,"$1,533,678.00 ","$84,961,511.50 ","$96,693,842.50 ","$96,693,842.50 ",Large Cap Growth Equities,2017-11-08,0.12%,N/A,$0.52 ,2019-12-23,$0.16 ,1.64%,19.34,0.86,231,19.06%,39%,20%,1099,$30.92 ,$31.96 ,$31.93 ,$32.02 ,72.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.19,84.61%,69.60%,184.52,6.64%,6.78%
TPLC,Timothy Plan US Large Cap Core ETF,Equity,"$138,327,623.00 ",1.78%,"37,361",$27.68 ,0.14%,No,No,1.40%,2.28%,N/A,N/A,N/A,$0.00 ,$0.00 ,"$12,257,173.50 ","$81,723,506.50 ","$81,723,506.50 ","$81,723,506.50 ",Mid Cap Growth Equities,2019-05-01,0.52%,N/A,$0.18 ,2019-12-18,$0.05 ,0.66%,20.2,0.96,300,5.63%,N/A,N/A,N/A,$26.96 ,$27.62 ,$27.64 ,$27.75 ,70.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.64,97.02%,53.51%,417.73,7.00%,5.00%
VALQ,American Century STOXX U.S. Quality Value ETF,Equity,"$137,732,178.00 ",0.40%,"46,544",$43.35 ,-0.05%,No,No,0.82%,1.21%,20.19%,N/A,N/A,$0.00 ,$0.00 ,$0.00 ,"$116,219,007.50 ","$124,114,450.00 ","$124,114,450.00 ",Large Cap Blend Equities,2018-01-11,0.29%,N/A,$1.00 ,2019-12-23,$0.25 ,2.30%,15.32,0.92,237,18.09%,39%,20%,1099,$42.73 ,$43.42 ,$43.32 ,$43.41 ,66.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.27,32.10%,44.36%,536.92,10.13%,8.57%
QABA,First Trust NASDAQ ABA Community Bank Index,Equity,"$137,092,528.00 ",-2.11%,"9,930",$50.74 ,-0.69%,No,No,-0.87%,-3.31%,12.82%,2.33%,62.92%,"($2,559,508.50)","($2,559,508.50)","($5,167,817.00)","($98,702,337.00)","($236,411,984.00)","$10,944,862.96 ",Financials Equities,2009-06-29,0.60%,N/A,$1.01 ,2019-12-13,$0.26 ,1.98%,13.7,1.11,166,21.89%,35%,15%,1099,$50.49 ,$52.80 ,$50.53 ,$50.95 ,47.93,B-,B,C+,B-,A-,C+,A-,3.27,12.56%,9.63%,8.1,0.00%,0.89%
IUS,Invesco Strategic US ETF,Equity,"$136,400,894.00 ",1.63%,"12,139",$28.14 ,0.18%,No,No,1.10%,2.54%,26.61%,N/A,N/A,$0.00 ,$0.00 ,$0.00 ,"$121,555,857.00 ","$121,555,857.00 ","$121,555,857.00 ",Large Cap Growth Equities,2018-09-12,0.19%,N/A,$0.49 ,2019-12-23,$0.13 ,1.74%,19.54,0.83,538,22.92%,39%,20%,1099,$27.37 ,$28.16 ,$28.11 ,$28.18 ,68.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.38,38.38%,46.96%,168.63,10.29%,5.19%
NULV,Nuveen ESG Large-Cap Value ETF,Equity,"$136,240,765.00 ",0.24%,"32,492",$32.88 ,0.27%,No,No,1.14%,1.22%,22.42%,38.73%,N/A,"$3,259,780.00 ",$0.00 ,"$1,625,605.00 ","$66,194,110.00 ","$114,836,116.00 ","$117,328,094.50 ",Large Cap Blend Equities,2016-12-13,0.35%,N/A,$0.48 ,2019-12-27,$0.48 ,1.47%,20.95,0.92,148,28.23%,20%,39%,1099,$32.43 ,$32.96 ,$32.80 ,$32.96 ,63.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.27,86.67%,71.47%,99.23,1.52%,7.90%
FTXO,First Trust Nasdaq Bank ETF,Equity,"$136,227,754.00 ",-3.37%,"37,945",$27.23 ,-1.84%,No,No,-1.80%,-3.55%,16.60%,10.63%,N/A,"($2,767,559.50)","($1,378,643.00)","($2,767,559.50)","($45,731,558.00)","$81,652,265.50 ","$90,421,455.50 ",Financials Equities,2016-09-21,0.60%,N/A,$0.71 ,2019-12-13,$0.23 ,2.57%,11.34,1.49,31,59.52%,39%,20%,1099,$27.39 ,$28.56 ,$27.06 ,$27.46 ,45.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.43,37.22%,25.22%,9.62,0.00%,1.15%
DBP,Invesco DB Precious Metals Fund,Commodity,"$135,628,223.00 ",2.00%,"34,733",$42.44 ,0.64%,No,No,-0.47%,5.27%,17.77%,19.56%,13.63%,"($8,561,744.00)",$0.00 ,"($16,752,542.00)","($20,812,340.00)","($21,046,392.00)","($30,801,012.00)",Precious Metals,2007-01-05,0.75%,N/A,$0.52 ,2019-12-23,$0.53 ,1.25%,0,-0.14,2,100.00%,23%,23%,K-1,$39.93 ,$43.47 ,$42.30 ,$42.52 ,62.06,B+,B+,C+,B-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BICK,First Trust BICK Index Fund,Equity,"$135,398,582.00 ",2.65%,"9,895",$30.08 ,-0.73%,No,No,2.03%,4.06%,18.25%,34.71%,38.35%,$0.00 ,$0.00 ,$0.00 ,"($14,285,614.00)","$114,283,864.50 ","$109,912,021.37 ",Foreign Large Cap Equities,2010-04-12,0.64%,N/A,$0.35 ,2019-12-13,$0.15 ,1.16%,16.86,0.96,89,19.55%,35%,15%,1099,$28.45 ,$30.37 ,$30.01 ,$30.22 ,69.55,C+,C,B,B-,C,C+,B,3.09,3.94%,7.96%,268.07,4.41%,2.14%
FLN,First Trust Latin America AlphaDEX Fund,Equity,"$133,362,171.00 ",1.55%,"10,589",$22.97 ,-1.03%,No,No,0.22%,4.07%,15.47%,34.22%,51.12%,$0.00 ,$0.00 ,$0.00 ,"$101,090,925.50 ","$13,229,989.00 ","$114,718,718.94 ",Latin America Equities,2011-04-20,0.80%,N/A,$0.43 ,2019-12-13,$0.06 ,1.86%,12.94,0.78,51,35.88%,35%,15%,1099,$21.98 ,$23.50 ,$22.89 ,$23.14 ,64.48,B,B,C,A,A-,C+,B+,3.52,42.57%,12.45%,546.59,3.81%,3.32%
CUT,Invesco MSCI Global Timber ETF,Equity,"$131,838,660.00 ",-2.20%,"17,905",$28.27 ,-0.28%,No,No,0.13%,-1.54%,11.55%,19.18%,32.06%,"($5,667,495.00)","($1,410,622.50)","($5,667,495.00)","($34,245,133.00)","($71,220,131.50)","($79,054,592.50)",Materials,2007-11-09,0.55%,N/A,$0.77 ,2019-12-23,$0.77 ,2.71%,14.25,1.18,79,47.29%,35%,15%,1099,$28.03 ,$29.18 ,$28.18 ,$28.35 ,51.48,A-,B+,C+,A+,A,B,B-,4.91,36.23%,36.56%,385.94,0.78%,5.86%
SCIF,VanEck Vectors India Small-Cap Index ETF,Equity,"$131,780,951.00 ",7.86%,"37,106",$35.39 ,1.09%,No,No,6.21%,10.81%,-14.81%,-18.34%,-16.46%,$0.00 ,$0.00 ,"($1,614,400.50)","($26,263,218.00)","($29,564,466.00)","($107,181,775.74)",Asia Pacific Equities,2010-08-24,0.83%,N/A,$0.42 ,2019-12-23,$0.42 ,1.21%,10.77,0.41,170,20.99%,35%,15%,1099,$30.77 ,$35.21 ,$35.32 ,$35.48 ,71.94,B,B+,C,C,C+,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A
DGRS,WisdomTree U.S. SmallCap Dividend Growth Fund,Equity,"$131,739,251.00 ",-0.23%,"11,425",$37.62 ,0.24%,No,No,0.73%,-0.65%,16.05%,19.64%,50.44%,"$1,866,335.50 ","$1,866,335.50 ","$1,866,335.50 ","$1,777,519.50 ","$26,165,705.00 ","$83,393,102.00 ",Small Cap Blend Equities,2013-07-25,0.38%,2 Platforms,$0.90 ,2019-12-23,$0.13 ,2.41%,17.92,1.1,267,17.01%,35%,15%,1099,$37.01 ,$38.20 ,$37.49 ,$37.74 ,55.44,N/A,N/A,B,N/A,N/A,N/A,N/A,3.74,2.46%,15.06%,195.04,5.64%,3.04%
DXD,ProShares UltraShort Dow 30,Equity,"$131,577,994.00 ",-3.59%,"633,405",$21.73 ,-0.73%,Yes,2x,-1.98%,-5.24%,-33.33%,-59.95%,-75.20%,$0.00 ,$0.00 ,"($7,985,965.50)","$46,495,510.00 ","$52,076,338.06 ","$220,570,854.44 ",Leveraged Equities,2006-07-11,0.95%,N/A,$0.40 ,2019-12-24,$0.09 ,1.82%,0,-1.86,30,54.01%,35%,15%,1099,$21.68 ,$23.00 ,$21.57 ,$21.91 ,34.17,A-,A,B-,A-,A,N/A,N/A,6.7,75.47%,81.14%,0,0.00%,0.00%
RYE,Invesco S&P 500® Equal Weight Energy ETF,Equity,"$131,371,753.00 ",-0.25%,"24,441",$47.75 ,-1.04%,No,No,-0.52%,3.05%,0.49%,-19.62%,-14.29%,"($2,405,321.00)",$0.00 ,"($2,405,321.00)","($68,060,836.00)","($101,179,483.00)","$81,582,015.75 ",Energy Equities,2006-11-07,0.40%,Charles Schwab,$1.03 ,2019-12-23,$0.22 ,2.14%,17.79,1.42,29,39.24%,35%,15%,1099,$46.27 ,$49.12 ,N/A,N/A,57.81,A-,B,B+,A-,A-,B+,B,4.64,29.41%,29.04%,461.89,0.00%,0.16%
RFDA,RiverFront Dynamic US Dividend Advantage ETF,Equity,"$131,222,683.00 ",1.25%,"6,591",$35.48 ,0.28%,No,No,1.05%,2.37%,21.92%,37.69%,N/A,"($3,522,322.50)","($3,522,322.50)","($5,275,772.00)","($27,416,632.00)","$94,541,492.00 ","$107,790,466.00 ",Large Cap Growth Equities,2016-06-07,0.52%,N/A,$0.66 ,2019-12-18,$0.07 ,1.85%,19.44,1.05,108,27.47%,39%,20%,1099,$34.57 ,$35.48 ,$35.43 ,$35.53 ,69.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.99,67.37%,63.85%,301.19,10.79%,5.70%
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"$129,558,973.00 ",1.03%,"17,158",$96.75 ,0.75%,No,No,2.45%,3.90%,24.90%,35.60%,39.47%,"($9,423,166.00)","$4,716,876.50 ","$21,859.50 ","$83,615,273.50 ","$87,889,883.50 ","$68,522,425.00 ",Real Estate,2008-11-20,0.35%,N/A,$2.44 ,2019-12-23,$0.76 ,2.54%,41.77,0.51,81,39.27%,35%,15%,1099,$92.67 ,$96.63 ,$96.38 ,$97.07 ,58.65,C+,C+,C,B+,A,C,B+,4.1,34.71%,19.82%,103.47,0.82%,10.41%
JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,Equity,"$129,489,087.00 ",3.99%,"5,566,742",$10.17 ,-5.92%,Yes,3x,-5.04%,-22.23%,-79.43%,-87.37%,-99.87%,"($11,708,331.00)","($25,229,993.50)","($4,606,271.50)","$145,972,878.50 ","($82,375,960.13)","$48,797,320.91 ",Leveraged Equities,2013-10-03,1.09%,N/A,$0.31 ,2019-12-23,$0.03 ,2.86%,0,0.43,68,44.96%,35%,15%,1099,$8.45 ,$13.61 ,$9.77 ,$10.82 ,41.36,N/A,A+,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RXL,ProShares Ultra Health Care,Equity,"$129,031,666.00 ",4.00%,"6,623",$132.37 ,1.49%,No,2x,3.02%,5.60%,36.93%,108.67%,108.67%,$0.00 ,$0.00 ,"$3,207,746.50 ","($16,826,611.25)","($2,721,017.50)","($107,590,267.50)",Leveraged Equities,2007-01-30,0.95%,N/A,$0.34 ,2019-12-24,$0.13 ,0.26%,24.75,1.88,120,46.62%,35%,15%,1099,$124.35 ,$131.24 ,$130.62 ,$133.61 ,71.09,A-,B,B-,B,B+,N/A,N/A,5.18,50.54%,42.55%,19.5,0.00%,11.25%
TTAC,TrimTabs All Cap US Free-Cash-Flow ETF,Equity,"$128,813,439.00 ",2.28%,"10,891",$40.21 ,0.35%,No,No,1.19%,3.04%,24.47%,48.80%,N/A,"($1,001,105.00)","($1,001,105.00)","($1,001,105.00)","($10,413,315.00)","$96,141,494.00 ","$102,116,281.50 ",Large Cap Growth Equities,2016-09-28,0.59%,N/A,$0.28 ,2019-12-30,$0.28 ,0.71%,22.01,1.02,98,14.04%,39%,20%,1099,$38.85 ,$40.26 ,$40.06 ,$40.33 ,68.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.39,38.63%,47.20%,88.83,7.00%,3.09%
RFFC,RiverFront Dynamic US Flex-Cap ETF,Equity,"$128,780,607.00 ",1.64%,"7,942",$36.28 ,0.19%,No,No,1.07%,2.45%,19.49%,34.60%,N/A,$0.00 ,$0.00 ,"($1,768,990.00)","($28,763,091.00)","$100,808,384.50 ","$107,632,058.00 ",Large Cap Growth Equities,2016-06-07,0.52%,N/A,$0.48 ,2019-12-18,$0.05 ,1.32%,18.24,1.18,155,22.85%,39%,20%,1099,$35.30 ,$36.31 ,$36.20 ,$36.34 ,69.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.05,22.40%,39.62%,215.8,13.98%,4.35%
